$Pak Hari | Pagi mas Adi, hari ini kamu pindah ke unit peminjaman ya. 
$Pak Hari | Kebetulan Bu Yani lagi cuti, kamu gantiin dulu ya, soalnya cuma kamu yang saya percaya bisa.
Pagi Pak. Unit peminjaman pak? % Hah? Unit peminjaman pak?
$Pak Hari | Iya, sini ikut saya.
$Pak Hari | Pekerjaan kamu gampang kok. Kalau ada orang datang mau meminjam uang, cek saja berkas mereka. 
$Pak Hari | KTP, Slip Gaji, Buku Tabungan, oh jangan lupa Kartu Keluarga dan surat jaminan juga ya. 
*1Pak Hari | Semuanya ada di kertas ini kok, kalau lupa dibaca saja.
#1
$Pak Hari | Oh ya, selain berkas tanyakan juga dengan detail mereka butuh uang tersebut untuk apa.
$Pak Hari | jangan langsung diberikan begitu saja! Kalau bisa, periksa langsung ke rumah mereka biar lebih yakin.
$Pak Hari | Untuk ketentuannya semua bisa kamu baca di kertas itu juga. 
$Pak Hari | Ingat ya, cek dengan benar! Jangan sampai ada yang dipalsukan atau terlewat, bisa repot nanti kita mencari mereka.
$Pak Hari | Yasudah Adi, silahkan dilanjutkan ya. Di depan sudah ada yang menunggu sebentar lagi mereka akan masuk.
#2
*2Bu Sinta | Pagi mas... Saya Sinta, saya mau mengajukan pinjaman.
#3
$Mas Adi | Baik bu, sambil saya tanya-tanya ya bu. 
$Mas Adi | Kalau saya boleh tahu pinjaman ini Ibu ajukan untuk apa?
$Bu Sinta | Untuk hidup aja si mas, sekarang apa-apa susah. Suami saya sakit, Anak masih perlu sekolah, saya sendiri kalau jualan di pasar saja tidak mencukupi. 
$Bu Sinta | Uangnya paling saya pakai untuk buka warung sih mas, hitung-hitung bisa dapat pendapatan lebih banyak juga... 
Oh Ibu jualan di pasar? Jualan apa bu? % Kenapa tidak dilanjutkan saja bu?
$Bu Sinta | Ya jajanan pasar biasa mas. 
$Bu Sinta | Saya udah ngga kuat lagi mas kalau harus setiap hari jualan di pasar. Suami saya juga ngga bisa saya tinggal lama-lama mas. 
$Bu Sinta | Kalau saya buka warung dirumah kan bisa lebih enak mas, ke pasar buat beli bahan aja Suami bisa saya jaga. 
@tanya_suami: Oh... Suami berarti sudah tidak bekerja ya Ibu? -> res://Main-Game/Chapter1/Story-Chapter1/OptionSuami1.txt - Maaf bu, suami sakit apa bu? -> res://Main-Game/Chapter1/Story-Chapter1/OptionSuami2.txt
$Mas Adi | Ada surat dokter atau surat lain dari rumah sakit Ibu? Boleh saya lihat? Itu bisa jadi dokumen pendukung juga Bu.
*3Bu Sinta | Oh ya, ini mas. Tadi pagi barusan antar Bapak periksa sama anak saya.
#4
@tanya_anak: Oh? Anak sudah sekolah ditingkat apa Bu? -> res://Main-Game/Chapter1/Story-Chapter1/OptionA1.txt % Dirujuk ya bu.. Bapak sudah dirujuk bu? -> res://Main-Game/Chapter1/Story-Chapter1/OptionA2.txt
#5
$Bu Sinta | Gimana mas?
$Mas Adi | Untuk sekarang saya perlu konfirmasi lebih lanjut dengan atasan saya, sekaligus memeriksa berkas Ibu. Tetapi untuk sementara ini, kalau saya simpan alamat rumah Ibu apakah boleh? Besok saya akan datang untuk survey.
$Bu Sinta | Oh? Survey mas? survey apa ya mas? 
$Mas Adi | Betul bu survey. Nanti kami akan datang ke rumah Ibu, untuk melihat lihat Bu. Sekaligus mengkonfirmasi ulang data yang Ibu berikan.
$Bu Sinta | Oh... Itu wajib mas?
$Mas Adi | Betul bu, itu salah satu persyaratan dari kami.
$Bu Sinta | Oh...
$Bu Sinta | ...
$Bu Sinta | Yasudah mas.
$Mas Adi | Baik bu, untuk alamatnya dan data lain Ibu silahkan isikan saja di formulir beriku-
$Bu Sinta | Ah! Mas ini udah jam makannya Bapak, dirumah ngga ada orang. Nanti siang anak saya kesini lagi saja ya mas. Terimakasih.  
$Mas Adi | Eh? Baik bu, untuk berkasnya-
$Bu Sinta | Masnya pegang dulu deh ya?
#6
$Mas Adi | (...)
$Mas Adi | (Ibunya aneh banget... Tapi kalau mau bohong kenapa berkasnya ditinggal semua... Apa palsu ya?)
$Mas Adi | (Isi formulir dulu deh)
#7
$??? | Permisi.
$Mas Adi | (?)
$Mas Adi | (Rame juga yang minjem uang...)
*4Mas Adi | Silahkan.
#8
*5??? | Halo mas, saya kemarin-kemarin sudah kesini, tapi sama Ibu Yuni disuruh melengkapi berkas lagi. Maaf banget mas, saya ada acara ini baru sempat datang lagi.
$Mas Adi | Oh iya kak, tidak apa-apa. Silahkan duduk.
#9
$Mba Berlina | Sudah lengkap kan mas? Bisa dipercepat tidak ya? Saya masih ada acara lain setelah ini.
$MC | Baik mba, untuk berkasnya sudah lengkap dan sudah saya bantu isikan di formulir juga. 
@tanya_berlina: Selanjutnya saya minta mba-nya untuk melengkapi alamat rumah... -> res://Main-Game/Chapter1/Story-Chapter1/OptionB1.txt % Baik mba, untuk yang terakhir saya mau menanyakan beberapa hal lagi mba. -> res://Main-Game/Chapter1/Story-Chapter1/OptionB2.txt
$Mas Adi | Baik Mba, sudah selesai. Besok saya akan kerumah dan nanti sekaligus akan saya kabari untuk tanggal Mba ke kantor lagi ya Mba. Terimakasih.
$Mba Berlina | Baik mas, tapi saya pagi kayaknya ngga bisa mas. Mungkin siangnya saya baru dirumah.
$Mas Adi | Baik Mba, akan saya usahakan.
$Mba Berlina | Baik mas, makasih.
#10 
$Mas Adi | (Kayak ada yang salah sama Mbanya...)
$Mas Adi | (Duh, napa kerjaanku jadi kaya detektif...)
$Mas Adi | (Istirahat dulu deh, pusing..)
