$Mas Adi | Astaga..
$Mas Adi | Mereka rekan bisnis..? 'Sumber daya manusia unggul'... Apaan ini..
$Mas Adi | H-02 aktif? T.. Turah kah?
$Mas Adi | Kunci apaan ini..?
$Pak Hari | ..Gitu ya Turah?
$Pak Turah | Maksudnya bagaimana pak?
$Pak Hari | Intinya nama kamu yang ditampilkan didalam suratnya. Saya ngga bisa.
$Pak Turah | Loh? Memangnya kenapa pak?
$Pak Hari | Kan kamu dokternya, masa nama saya yang muncul? Gaenak ah.
$Pak Turah | ...
$Pak Turah | Ya nanti kita bahas lagi saja pak. Saya mau membahas soal percobaan..
$Mas Adi | Serem banget astaga..
$Mas Adi | punya pak bambang? Masih disini.. Belum diambil alih Pak Hari?
