$Mas Saleh | Makasih banyak ya mas... 
$Mas Adi | Sama-sama mas, mohon untuk bayar sesuai tenggat waktu ya mas. Kalau ada halangan bisa langsung kekantor saja.
$Mas Saleh | Iya mas, saya bakal bayar mas. Makasih banyak ya mas..
$Mas Adi | Iya mas..
$Mas Adi | (..oh iya surat tanah..)
$Mas Adi | Oh ya mas, kalau masnya kesini lagi bisa mas? Saya mau mengembalikan surat milik Bapak yang belum dikembalikan dari pelunasan sebelumnya.
$Mas Saleh | Eh? Masih ada berkas mas?
$Mas Adi | Betul mas, ada surat tanah. Tapi buat kapan saya bisa kembalikan, saya belum bisa memastikan mas. Tapi yang bisa saya jamin suratnya ada dan akan segera dikembalikan.
$Mas Saleh | Hah?! Serius mas, boleh banget mas saya bakal kesini kalau ada berita lagi! Kalau bisa saya setiap hari kesini mas!
$Mas Adi | hahaha, siap mas. Ditunggu ya mas.
$Mas Saleh | Baik mas, makasih banyak ya mas. Saya pamit dulu, sekali lagi makasih mas
$Mas Adi | iya mas, mari.
#1
$Mas Adi | (..Harusnya bisa bantu.. )
$Mas Adi | (masalah pak hari.. )
$Mas Adi | (nanti deh.)
$Mas Adi | (...)
$Mas Adi | (udah seharian, Bu berlina kok ngga dateng ya...)
$Mas Adi | (Pak Hari..)
#2
$Bu Yanti | Halo mas..
$Bu Yanti | Eh?! Bu? Ada yang bisa saya bantu
$Bu Yanti | Saya dikirim Ibu Berlina sama Pak Turah mas... saya mau ambil berkas yang dikasih Ibu Berlina kemarin, katanya pengajuan pinjamannya dibatalkan mas.
$Mas Adi | Eh? Dibatalin bu? Ada apa bu? Mungkin bisa dibahas dulu bu, soalnya ini sudah di setujui sama atasan saya.
$Bu Yanti | Maaf mas, kalau untuk itu saya kurang paham juga. Saya cuma diminta untuk menginformasikan masnya saja, sekaligus mengambil berkasnya mas.
$Mas Adi | ...tapi bu
$Mas Adi | ...
$Mas Adi | Yasudah bu, sebentar ya.
*1Bu Yanti | Makasih ya mas, ini juga ada surat dari pak Turah untuk masnya.
$Mas Adi | Eh? Surat bu? Ini apa bu?
$Bu Yanti | Iya mas, saya juga kurang paham mas, maaf ya. saya pamit ya mas, terimakasih.
$Mas Adi | Oh iya, baik bu. Terimakasih.
$Mas Adi | h-hah?!
$Mas Adi | (Pak Turah?!)
$Mas Adi | (...Mati aku.)
#3
$Pak Hari | Mas Adi.
$Mas Adi | I-Iya pak?
$Pak Hari | Loh? Masnya kenapa kok pucat gitu?
$Mas Adi | ngga papa pak, saya salah makan kayaknya.
$Pak Hari | waduh.. Tapi beneren gapapa mas?
$Mas Adi | I-iya pak, gimana pak ada yang bisa dibantu?
$Pak Hari | maaf banget mas, saya ngga tau saya lagi kenapa tapi saya ketinggalan berkas lagi. Boleh tolong ngga ya mas? Saya ngga bisa ambil sendiri soalnya bakal ada tamu datang kekantor.
$Mas Adi | oh, berkas lagi pak. Di rumah pak?
$Pak Hari | betul mas dirumah. Dikamar saya seperti biasa. Tolong ya mas. 
$Mas Adi | baik pak, saya segera kesana.
#4
$Mas Adi | (...)
$Mas Adi | (Aku salah langkah..?)
$Mas Adi | (Aduh...)
$Mas Adi | (Gimana ya...)
$Mas Adi | (...)
$Mas Adi | (Fokus Adi. Ambil berkas.)
