$Mas Saleh | Makasih banyak ya mas... 
$Mas Adi | Sama-sama mas, mohon untuk bayar sesuai tenggat waktu ya mas. Kalau ada halangan bisa langsung kekantor saja.
$Mas Saleh | Iya mas, saya bakal bayar mas. Makasih banyak ya mas..
$Mas Adi | Iya mas..
#1
$Bu Yanti | Halo mas..
$Mas Adi | eh?! Bu? Ada yang bisa saya bantu
$Bu Yanti | saya dikirim Ibu Berlina sama Pak Turah mas... saya mau ambil berkas yang dikasih Ibu Berlina kemarin, katanya pengajuan pinjamannya dibatalkan mas.
$Mas Adi | eh? Dibatalin bu? Ada apa bu? Mungkin bisa dibahas dulu bu, soalnya ini sudah di setujui sama atasan saya.
$Bu Yanti | maaf mas, kalau untuk itu saya kurang paham juga. Saya cuma diminta untuk menginformasikan masnya saja, sekaligus mengambil berkasnya mas.
$Mas Adi | ...tapi bu...
$Mas Adi | Yasudah bu, sebentar ya.
#2
$Bu Yanti | Makasih ya mas, Mari mas.
$Mas Adi | oh iya, baik bu. Terimakasih.
