$Mas Saleh | Makasih banyak ya mas...
$Mas Adi | sama-sama mas, mohon untuk bayar sesuai tenggat waktu ya mas. Kalau ada halangan bisa langsung kekantor saja.
$Mas Saleh | Iya mas, saya bakal bayar mas. Makasih banyak ya mas..
$Mas Adi | Iya mas..
$Mas Adi | ..oh iya surat tanah..
$Mas Adi | Oh ya mas, kalau masnya kesini lagi bisa mas? Saya mau mengembalikan surat milik Bapak yang belum dikembalikan dari pelunasan sebelumnya.
$Mas Saleh | eh? Masih ada berkas mas?
$Mas Adi | betul mas, ada surat tanah. Tapi buat kapan saya bisa kembalikan, saya belum bisa memastikan mas. Tapi yang bisa saya jamin suratnya ada dan akan segera dikembalikan.
$Mas Saleh | Hah?! Serius mas, boleh banget mas saya bakal kesini kalau ada berita lagi! Kalau bisa saya setiap hari kesini mas!
$Mas Adi | hahaha, siap mas. Ditunggu ya mas.
$Mas Saleh | Baik mas, makasih banyak ya mas. Saya pamit dulu, sekali lagi makasih mas
$Mas Adi | iya mas, mari.
$Mas Adi | ..Harusnya bisa bantu..
$Mas Adi | masalah pak hari..
$Mas Adi | nanti deh.
$Mas Adi | ...
$Mas Adi | udah seharian, Bu berlina kok ngga dateng ya...
$Mas Adi | Pak Hari..
$ART | Halo mas..
$Mas Adi | eh?! Bu? Ada yang bisa saya bantu
$ART | saya dikirim Ibu Berlina sama Pak Turah mas... saya mau ambil berkas yang dikasih Ibu Berlina kemarin, katanya pengajuan pinjamannya dibatalkan mas.
$Mas Adi | eh? Dibatalin bu? Ada apa bu? Mungkin bisa dibahas dulu bu, soalnya ini sudah di setujui sama atasan saya.
$ART | maaf mas, kalau untuk itu saya kurang paham juga. Saya cuma diminta untuk menginformasikan masnya saja, sekaligus mengambil berkasnya mas.
$Mas Adi | ...tapi bu…
$Mas Adi | Yasudah bu, sebentar ya.
$ART | Makasih ya mas, ini juga ada surat dari pak Turah untuk masnya.
$Mas Adi | eh? Surat bu? Ini apa bu?
$ART | Iya mas, saya juga kurang paham mas, maaf ya. saya pamit ya mas, terimakasih.
$Mas Adi | oh iya, baik bu. Terimakasih.
